[PVE],,
[NPC],,
ID,UniqueID,Count
4264,4264,1
4266,4266,1
4273,4273,1
4271,4271,1
4272,4272,1
4274,4274,1
4275,4275,1
5000,5000,1
4276,0,1
4276,0,1
4276,0,1
1058,1058,1
1195,1195,1
1016,1016,1
4277,4277,1
10084,1,1
10084,0,1
10084,0,1
10084,0,1
10083,2,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10083,0,1
10082,3,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
10082,0,1
1595,1595,1
4304,4304,1
52380,0,1
52380,0,1
52390,0,1
4314,0,1
52400,0,1
52370,0,1
52370,0,1
4310,0,1
52410,0,1
52430,0,1
4322,4322,1
4329,4329,1
4335,4335,1
4338,4338,1
4343,4343,1
4346,4346,1
4365,4365,1
4369,4369,1
4349,4349,1
4355,4355,1
52640,0,1
4352,4352,1
4373,4373,1
4382,0,1
4382,0,1
4382,0,1
4382,0,1
4382,0,1
4382,0,1
4382,0,1
4382,0,1
4382,0,1
4382,0,1
4395,4395,1
4399,4399,1
4402,4402,1
52920,0,1
4405,4405,1
3401,3401,1
3402,3402,1
3399,3399,1
3400,3400,1
3403,3403,1
3404,3404,1
3405,3405,1
3406,3406,1
3407,3407,1
3408,3408,1
3409,3409,1
3410,3410,1
3411,3411,1
3412,3412,1
3413,3413,1
3414,3414,1
3415,3415,1
3416,3416,1
3417,3417,1
3423,3423,1
3424,3424,1
3426,3426,1
3427,3427,1
3428,3428,1
3430,3430,1
3431,3431,1
3432,3432,1
3433,3433,1
3436,3436,1
3437,3437,1
52930,0,1
4447,4447,1
53080,0,1
4422,4422,1
1691,1691,1
1687,1687,1
1686,1686,1
4532,4532,1
4533,4533,1
4534,4534,1
4537,4537,1
4535,4535,1
4536,4536,1
4276,0,1
4053,0,1
4053,0,1
4053,0,1
4555,4555,1
6051,6051,1
6077,6077,1
6236,6236,1
4568,4568,1
4574,4574,1
4628,4628,1
54305,0,1
54305,0,1
54307,0,1
54307,0,1
54307,0,1
5768,5768,1
[Raid],62712,
52940,522553,
[Raid],62705,
4347,522516,
52720,522517,
[Raid],62701,
4330,522506,
52570,522507,
[Raid],63209,
52250,522500,
52260,522501,
52260,522502,
52270,522503,
52270,522504,
4265,522505,
[Raid],62707,
52780,522519,
[Raid],62713,
53040,522554,
[Raid],62709,
4397,522521,
4398,522522,
52840,522523,
52840,522524,
52840,522525,
52850,522526,
52850,522527,
52850,522528,
52860,522529,
[Raid],62711,
52890,522541,
4403,522540,
52890,522542,
52890,522543,
52890,522544,
52890,522545,
52900,522546,
52900,522547,
52900,522548,
52900,522549,
52900,522550,
52910,522551,
4404,522552,
[Raid],62714,
6059,522555,
6060,522556,
6061,522557,
6062,522558,
6063,522559,
[Raid],62708,
52820,522520,
[Raid],62703,
4339,522511,
4341,522512,
52600,522513,
[Raid],71237,
4012,200,
4012,201,
4012,202,
4036,100,
4036,101,
4036,102,
4036,103,
4036,104,
4037,105,
4037,106,
4037,107,
4037,108,
4037,109,
4037,110,
4037,111,
4037,112,
4037,113,
4037,114,
4037,115,
4037,116,
4037,117,
4037,118,
4037,119,
4037,120,
4034,121,
4034,122,
4034,123,
4034,124,
4039,125,
4033,126,
4032,127,
4038,128,
4039,129,
4032,130,
94001,1000,
94002,1001,
94001,1002,
94002,1003,
94001,1004,
94002,1005,
94001,1006,
94002,1007,
94001,1008,
94002,1009,
94001,1010,
94002,1011,
94004,1012,
94003,1013,
0,28,
0,29,
0,30,
0,31,
0,32,
0,33,
0,34,
0,35,
0,36,
0,37,
0,38,
0,39,
0,40,
0,41,
0,42,
0,43,
0,44,
0,45,
0,46,
0,47,
0,48,
0,49,
0,50,
0,51,
0,52,
0,53,
0,54,
0,55,
0,56,
0,57,
0,58,
0,59,
0,60,
0,61,
0,62,
0,63,
0,64,
0,65,
0,66,
0,67,
0,68,
0,69,
0,70,
[Raid],62702,
4336,522508,
52580,522509,
52590,522510,
[Raid],62715,
[Raid],62704,
4344,522514,
52710,522515,
[Raid],62706,
52730,522518,
[Raid],62710,
52870,522535,
4400,522530,
4401,522531,
4401,522532,
4401,522533,
4401,522534,
52870,522536,
52870,522537,
52870,522538,
52870,522539
