--md5:b8832b7de6808d840287728463a3ba57
Table_Quest_61 = { 
	[6100001] = {id = 6100001, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'check_group', Params = {id=311130001,finish=1,start=1}, SubGroup = 100, FinishJump = 102, FailJump = 101, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, Level = 50, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100002] = {id = 6100002, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'check_group', Params = {id=311130001,start=1,finish=0}, SubGroup = 101, FinishJump = 102, FailJump = 1, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100003] = {id = 6100003, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'GM', Params = {type="finishGroup",id=31165,groupid=2}, SubGroup = 102, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100004] = {id = 6100004, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'GM', Params = {type="finishGroup",id=31165,groupid=3}, SubGroup = 102, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100005] = {id = 6100005, QuestID = 31165, Class = {}, QuestName = '诗人的故事集', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'visit', Params = {npc=1587,dialog={120167,120168,120169,120170,120171,120172,120173,120174,120175,120176,120177},uniqueid=1587,distance=5,symbol=1}, SubGroup = 1, Map = 16, TraceInfo = '', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100006] = {id = 6100006, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'GM', Params = {type="finishGroup",id=31113,groupid=1}, SubGroup = 1, FinishJump = 2, Map = 16, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100007] = {id = 6100007, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'item', Params = {item={{id=52103,num=30}},monster=10040,uniqueid=6}, SubGroup = 2, Map = 15, TraceInfo = '收集[num]个加勒结晶', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100008] = {id = 6100008, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'visit', Params = {npc=1587,dialog={120178},uniqueid=1587,distance=5}, SubGroup = 2, Map = 16, TraceInfo = '找到吟游诗人', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100009] = {id = 6100009, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'check_item', Params = {item={{id=52103,num=30}}}, SubGroup = 2, FailJump = 3, Map = 16, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100010] = {id = 6100010, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'remove_item', Params = {item={{id=52103,num=30}}}, SubGroup = 2, FinishJump = 4, FailJump = 3, Map = 16, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100011] = {id = 6100011, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'dialog', Params = {dialog={120202}}, SubGroup = 3, FinishJump = 2, Map = 16, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100012] = {id = 6100012, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 1, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'empty', Params = {}, SubGroup = 4, Map = 16, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100013] = {id = 6100013, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 2, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'visit', Params = {npc=1587,dialog={120179,120180,120181,120182,120183,120184,120185,120186,120187,120188,120189,120190,120191},uniqueid=1587,distance=5}, SubGroup = 1, Map = 16, TraceInfo = '找到吟游诗人', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {311650001}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100014] = {id = 6100014, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 2, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'kill', Params = {monster=10046,num=300,pos={-211.04,-8.99,-3.23}}, SubGroup = 1, Map = 16, TraceInfo = '击败[num]只摩卡', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[6100015] = {id = 6100015, QuestID = 31165, Class = {}, QuestName = '刺杀之王', GroupID = 2, Name = '无名者', Type = 'story', Branch = {}, RewardGroupID = 6100001, Content = 'visit', Params = {npc=1587,dialog={120192,120193,120194,120195,120196,120197,120198,120199},uniqueid=1587,distance=5}, SubGroup = 1, Map = 16, TraceInfo = '找到吟游诗人', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
