--md5:c752a836e256aa23cfaae8c498d114f5
Table_Quest_7 = { 
	[700000] = {id = 700000, QuestID = 9999999, Class = {}, QuestName = '1', GroupID = 1, Name = '1', Type = 'main', Branch = {}, RewardGroupID = 700000, Content = 'visit', Params = {npc=1105,dialog={561}}, TraceInfo = '测试测试测试', Bpoint = {}, Level = 99999999, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '', recycle = {}},
	[700001] = {id = 700001, QuestID = 70001, Class = {12,13,14}, QuestName = '鲜血宝石', GroupID = 1, Name = '鲜血宝石', Type = 'branch', Branch = {}, RewardGroupID = 700001, Content = 'gather', Params = {groupId=10081,reward=83001,num=1,private_gather=1}, TraceInfo = '', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
	[700002] = {id = 700002, QuestID = 70002, Class = {}, QuestName = '骑士的起源', GroupID = 1, Name = '骑士的起源', Type = 'branch', Branch = {}, RewardGroupID = 700002, Content = 'visit', Params = {npc=4266,dialog={84740,84741,84742},uniqueid=4266,distance=3}, SubGroup = 1, FinishJump = 6, FailJump = 6, Map = 27, TraceInfo = '让福金先生看看这块鲜血宝石', WhetherTrace = 1, Auto = 0, Bpoint = {}, Level = 99999999, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
	[700003] = {id = 700003, QuestID = 70002, Class = {}, QuestName = '骑士的起源', GroupID = 1, Name = '骑士的起源', Type = 'branch', Branch = {}, RewardGroupID = 700002, Content = 'visit', Params = {npc=4266,dialog={84743},uniqueid=4266,distance=3}, SubGroup = 6, Map = 27, TraceInfo = '找福金先生激活宝石', WhetherTrace = 1, Auto = 0, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
	[700004] = {id = 700004, QuestID = 70002, Class = {}, QuestName = '骑士的起源', GroupID = 1, Name = '骑士的起源', Type = 'branch', Branch = {}, RewardGroupID = 700002, Content = 'dialog', Params = {dialog={84744}}, SubGroup = 3, FinishJump = 6, FailJump = 6, Map = 27, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
	[700005] = {id = 700005, QuestID = 70002, Class = {}, QuestName = '骑士的起源', GroupID = 1, Name = '骑士的起源', Type = 'branch', Branch = {}, RewardGroupID = 700002, Content = 'check_money', Params = {type=131,count=200000}, SubGroup = 2, FailJump = 5, Map = 27, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
	[700006] = {id = 700006, QuestID = 70002, Class = {}, QuestName = '骑士的起源', GroupID = 1, Name = '骑士的起源', Type = 'branch', Branch = {}, RewardGroupID = 700002, Content = 'remove_money', Params = {zeny=200000}, SubGroup = 2, FinishJump = 4, FailJump = 5, Map = 27, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
	[700007] = {id = 700007, QuestID = 70002, Class = {}, QuestName = '骑士的起源', GroupID = 1, Name = '骑士的起源', Type = 'branch', Branch = {}, RewardGroupID = 700002, Content = 'dialog', Params = {dialog={84745}}, SubGroup = 5, FinishJump = 6, FailJump = 6, Map = 27, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
	[700008] = {id = 700008, QuestID = 70002, Class = {}, QuestName = '骑士的起源', GroupID = 1, Name = '骑士的起源', Type = 'branch', Branch = {}, RewardGroupID = 700002, Content = 'dialog', Params = {dialog={84746,84747}}, SubGroup = 4, Map = 27, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
	[700009] = {id = 700009, QuestID = 70002, Class = {}, QuestName = '骑士的起源', GroupID = 1, Name = '骑士的起源', Type = 'branch', Branch = {}, RewardGroupID = 700002, Content = 'GM', Params = {type="playaction",style=3,npcid=4532,id=25,sync=1}, SubGroup = 4, Map = 27, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
	[700010] = {id = 700010, QuestID = 70002, Class = {}, QuestName = '骑士的起源', GroupID = 1, Name = '骑士的起源', Type = 'branch', Branch = {}, RewardGroupID = 700002, Content = 'GM', Params = {type="sound_effect",se="Common/Magic_cast"}, SubGroup = 4, Map = 27, TraceInfo = '', WhetherTrace = 1, Auto = 1, Bpoint = {}, PreQuest = {}, MustPreQuest = {}, Manual = {}, TFStartTime = '', TFEndTime = '', StartTime = '', EndTime = '', WeekTime = {}, guild = {}, version = '1.0', recycle = {}},
