[PVE],,
[NPC],,
ID,UniqueID,Count
1058,1058,1
1350,1,1
1352,3,1
1347,6,1
1353,7,1
1354,5,1
1355,4,1
1356,2,1
1361,0,0
1361,0,0
1361,0,0
1361,0,0
1361,0,0
1361,0,0
1361,0,0
1361,0,0
1361,0,0
1361,0,1
1361,0,1
1361,0,0
1361,0,1
1362,0,2
1362,0,2
1362,0,10
1362,0,2
1362,0,2
1378,0,1
1379,0,1
1405,8,1
1517,1517,1
1516,1516,1
1515,1515,1
1632,15,1
1380,10,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10014,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10015,0,1
10036,0,5
10036,0,12
10036,0,4
10036,0,8
10036,0,4
10036,0,6
10036,0,12
10036,0,4
10036,0,5
10036,0,2
10036,0,6
10036,0,6
10036,12,20
10036,0,3
10036,0,4
10036,0,5
10036,0,5
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,11,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10037,0,1
10038,0,5
10038,0,8
10038,13,8
10038,0,5
10038,0,5
10038,0,5
10039,0,15
10039,14,20
10039,0,10
40002,0,2
40006,0,2
40009,0,6
51000,51000,1
51020,51020,1
51010,51010,1
2135,2135,1
2161,2161,1
53263,53263,1
10038,0,5
10038,0,5
10038,0,5
10038,0,5
53261,0,1
53261,0,1
53261,0,1
2199,2199,1
7275,0,1
7275,0,1
7275,0,1
7275,0,1
7275,0,1
54295,0,1
54295,0,1
54295,0,1
54296,0,1
54296,0,1
54296,0,1
54297,0,1
